romanized,khmer,frequency
brodae,ប្រដែ,1
aasangkheyy,អសង្ខៃយ,1
chhatkophey,ឆាតកភ័យ,1
topvosompheareak,ទព្វសម្ភារៈ,1
touchkroyean,ទោចក្រយាន,1
neari,នារី,1
srech,ស្រិចៗ,1
hothelirng,ហត្ថិលិង្គ,1
terng,តឹង,1
aathimott,អធិមត្ត,1
behbet,បេះបិទ,1
aay,អាយ,1
mohoesa,មហឹសា,1
thengthoung,ធេងធោង,1
pirn ng,ប៉ុណ្ណឹង,1
Costa Rica,កូស្តារីកា,1
tomrek,តម្រេក,1
yak,យ៉ាក,1
trov,ត្រូវ,1
aomros,អម្រស់,1
chotoppheak,ចតុព្ភាគ,1
hemvoan,ហេមវ័ន្ត,1
muol,មួល,1
neartocheatok,នារទជាតក,1
ponlot,ពន្លត់,1
aochchhottosontean,អជ្ឈត្តសន្តាន,1
meakobrang,មាក់ប្រាង,1
srapab,ស្រប៉ាប,1
aasophea,អសុភា,1
sral,ស្រាល,1
katau,កាតៅ,1
heng,ហេង,1
baol,បោល,1
metta,មេត្តា,1
ponyueut,ពន្យឺត,1
loung,ឡូង,1
thnoltotueng,ថ្នល់ទទឹង,1
sotoneaknohot,សតនាគនហុត,1
tromueng,ទ្រមឹង,1
pei,ពៃទូរ្យ,1
klan,ក្លន,1
kroaeut,ក្រអឺត,1
vichetrar,វិចិត្រ,1
haor,ហោរ,1
ubaosath,ឧបោសថ,1
thurnikkheb,ធុរនិក្ខេប,1
vosantotelok,វសន្តតិលក,1
kontoul,កូនទោល,1
sraauum,ស្រអ៊ុំ,1
mohemea,មហិមា,1
vollicheat,វល្លិជាតិ,1
aanisongsor,អានិសង្ស,1
satra,សត្រា,1
rolorolorm,រលោរលាំ,1
rochchobbavenei,រជ្ជប្បវេណី,1
tasok,តាសក់,1
somkung,សម្កុង,1
khlang,ខ្លាំង,1
postraphoronak,ពស្ត្រាភរណៈ,1
sammotelingkor,សម្មតិលិង្គ,1
savoyut,សាវយុត,1
rumyik,រំយីក,1
nuem,នឹម,1
vubsontor,វូបសន្ត,1
montirobal,មន្ទីរបាល,1
soteatean,សទាទាន,1
leah,លះ,1
vosal,វសល,1
hnung,ហ្នឹង,1
phruetok,ភ្រឹតក,1
khantorea,ខន្ទរា,1
derk,ដឹក,1
satin,សាទិន,1
samit,សមិត,1
somreantor,សម្រាន្ត,1
jumnger,ជំងឺ,1
borisotthi,បរិសុទ្ធិ,1
vikor,វិករ,1
kamphut,កំភូត,1
thngaitrang,ថ្ងៃត្រង់,1
aasvar,អស្វ,1
baohnout,បោះឆ្នោត,1
krosthnak,គ្រោះថ្នាក់,1
rumpen,រំពេន,1
kantheay,កន្ធាយ,1
sorse,សរសេរ,1
puumnuoh,ពុំនោះ,1
brolauompae,ប្រឡៅអំពែ,1
phlaot,ផ្លោត,1
yeamovotei,យាមវតី,1
kmom,ក្រមុំ,1
lukh,លូខ,1
ranthoveasei,រន្ធវាសី,1
horytey,ហ្ឫទ័យ,1
tok,តុ,1
bong kern,បង្កើន,1
haomrong,ហោមរោង,1
tukkad,ទុក្កដ,1
aodthoyouk,អឌ្ឍយោគ,1
sonteah,សន្ទះ,1
aophet,អភេទ,1
aayuveaeng,អាយុវែង,1
rolekrolak,រឡិករឡាក់,1
noksat,នក្សត្រ,1
haottrak,ហោត្រ,1
dangkanhcheam,ដងកញ្ចាម,1
