romanized,khmer,frequency
.,ៈ,1
.,៉,1
.,៊,1
.,់,1
.,។,1
.l.,។ល។,1
etc,។ល។,1
Afghanistan,អាហ្វហ្កានីស្ថាន,1
Afghanistan,អាហ្វហ្គានីស្ថាន,1
Albania,អាល់បានី,1
Algeria,អាល់ហ្សេរី,1
America,អាមេរិក,1
Andorra,អង់ដូរ៉ា,1
Angola,អង់ហ្គោឡា,1
Anunhart,អនុញ្ញាត,1
Argentina,អាហ្សង់ទីន,1
Armenia,អាមេនី,1
Attra,អត្រា,1
Australia,អូស្ត្រាលី,1
Austria,អូទ្រីស,1
Azerbaijan,អាស៊ែបៃហ្សង់,1
Bahamas,បាហាម៉ា,1
Bahamas,បាហាម៉ាស,1
Bahrain,បារ៉ែន,1
Bangladesh,បង់ក្លាដែស,1
Barbados,បាបាដុស,1
Barbados,បាបាដូស,1
Belarus,បេឡារុស្ស,1
Belgium,បែលហ្សិក,1
Belgium,បែលហ្សុិក,1
Belize,បេលី,1
Belize,បេលីស,1
Benin,បេណាំង,1
Benin,បេនីន,1
Besdong,បេះដូង,1
Bhutan,ប៊ូតង់,1
Bhutan,ប៊ូតាន,1
Bolivia,បូលីវី,1
Bosnia and Herzegovina,បូស្នៀ និងហឺហ្សេហ្គោវីណា,1
Botswana,បុតស្វាណា,1
Botswana,បូតស្វាណា,1
Brazil,ប្រេស៊ីល,1
Brorsirn,ប្រសិន,1
Brunei,ប្រ៊ុយណេ,1
Brunei,ព្រុយណេ,1
Bulgaria,ប៊ុលហ្ការី,1
Bulgaria,ប៊ុលហ្គារី,1
Burkina Faso,បួគីណាហ្វាសូ,1
Burkina Faso,ប៊ូគីណាហ្វាសូ,1
Burma,ភូមា,1
Burundi,ប៊ូរុនឌី,1
Cambodia,កម្ពុជា,1
Cameroon,កាមេរូន,1
Canada,កាណាដា,1
Central African,អាហ្វ្រិកកណ្តាល,1
Central African,អាហ្វ្រ៊ិកកណ្ដាល,1
Chad,ឆាដ,1
Chile,ឈីលី,1
Chile,សុីលី,1
China,ចិន,1
Colombia,កូឡុំប៊ី,1
Comoros,កូម៉ូរ៉ូ,1
Comoros,កូម័រ,1
Congo,កុងហ្គោ,1
Costa Rica,កូស្តារីកា,1
Croatia,ក្រូអាត,1
Cuba,គុយបា,1
Cyprus,ស៊ីប,1
Czech,​ឆែក,1
Côte d’Ivoire,កូតឌីវ័រ,1
Denmark,ដាណឺម៉ាក,1
Djibouti,ជីប៊ូទី,1
Dominica,ដូមីនីកា,1
Dominican,​ដូ​មីនី​កែន,1
East Timor,ទីម័រខាងកើត,1
Ecuador,អេក្វាឌ័រ,1
Egypt,អេហ្ស៊ីប,1
El Salvador,អែលសាល់វ៉ាឌ័រ,1
Equatorial Guinea,អេក្វាទ័រហ្គីណេ,1
Eritrea,អេរីទ្រា,1
Estonia,អេស្តូនី,1
Eswatini,អេសវ៉ាទីនី,1
Ethiopia,អេត្យូពី,1
Fiji,ហ្វីជី,1
Finland,ហ្វាំងឡង់,1
France,បារាំង,1
