romanized,khmer,frequency
nhom,ខ្ញុំ,100
nhum,ខ្ញុំ,100
nh,ខ្ញុំ,90
knhom,ខ្ញុំ,100
knhum,ខ្ញុំ,100
knyum,ខ្ញុំ,85
knyom,ខ្ញុំ,85
khnhom,ខ្ញុំ,80
khnhum,ខ្ញុំ,80
neak,អ្នក,100
neak,នាគ,100
nork,ណក,100
nae,នែ,100
nus,នុះ,100
nus,នោះ,100
job,ចប់,100
bat,បាត,95
batt,បាត,95
bat,បាត់,95
batt,បាត់,95
bat,បាទ,100
batt,បាទ,100
ot,អត់,100
ort,អត់,95
lob,ឡប់,100
lop,ឡប់,100
lub,លុប,100
lup,លុប,100
mean,មាន,100
men,មាន,50
men,មែន,80
man,មែន,80
ban,បាន,100
bn,បាន,85
jong,ចង់,95
jg,ចង់,95
jg,អីចឹង,95
jea,ជា,95
chea,ជា,90
ter,តើ,85
te,ទេ,95
som,សុំ,90
tv,ទៅ,90
tov,ទៅ,95
nov,នៅ,95
nv,នៅ,95
nham,ញ៉ាំ,90
pin,ពិន,100
sabay,សប្បាយ,90
sbay,សប្បាយ,90
sabai,សប្បាយ,90
okun,អរគុណ,95
orkun,អរគុណ,95
arkun,អរគុណ,90
sursdey,សួស្តី,95
sursdei,សួស្តី,95
susdey,សួស្តី,95
jas,ចាស,100
jas,ចាស់,100
somtos,សុំទោស,100
somtus,សុំទោស,100
somtoh,សុំទោស,95
bong,បង,100
b,បង,95
oun,អូន,100
o,អូន,95
oon,អូន,95
koat,គាត់,100
kort,គាត់,90
ke,គេ,100
eng,ឯង,95
eg,ឯង,95
hg,ហែង,95
yg,យើង,95
yerng,យើង,95
vea,វារ,100
vea,វា,100
klun,ខ្លួន,95
mak,ម៉ាក់,95
pa,ប៉ា,95
pu,ពូ,90
ming,មីង,90
ey,អី,100
ei,អី,95
na,ណា,100
mech,ម៉េច,95
jao,ចោរ,95
jao,ចោល,95
jol,ចូរ,95
jol,ចូល,95
lvol,រវល់,95
rovol,រវល់,95
lv,ឥឡូវ,95
lov,ឥឡូវ,95
ponman,ប៉ុន្មាន,95
pman,ប៉ុន្មាន,95
punman,ប៉ុន្មាន,90
mok,មក,100
mk,មក,95
tver,ធ្វើ,100
thver,ធ្វើ,95
trov,ត្រូវ,95
trv,ត្រូវ,95
hz,ហើយ,100
hx,ហើយ,100
haey,ហើយ,100
heuy,ហើយ,100
oy,ឲ្យ,100
aoy,ឲ្យ,95
derng,ដឹង,100
deng,ដឹង,95
dg,ដឹង,95
skoal,ស្គាល់,95
skol,ស្គាល់,95
khernh,ឃើញ,90
khern,ឃើញ,95
leng,លេង,95
lg,លេង,95
yol,យល់,95
dek,ដេក,95
keng,គេង,95
kg,គេង,95
kg,ខឹង,95
khg,ខឹង,95
kherng,ខឹង,95
srolanh,ស្រលាញ់,95
sl,ស្រលាញ់,95
sruol,ស្រួល,90
nas,ណាស់,100
nah,ណា,95
laor,ល្អ,100
thom,ធំ,90
touch,តូច,90
toch,តូច,90
chren,ច្រើន,95
chran,ច្រើន,90
kmean,គ្មាន,90
klang,ខ្លាំង,90
klang,កម្លាំង,90
chhab,ឆាប់,90
neng,និង,90
ng,និង,95
thngay,ថ្ងៃ,95
tngay,ថ្ងៃ,95
pel,ពេល,95
pi,ពី,95
dol,ដល់,95
bay,បាយ,100
bai,បាយ,95
tek,ទឹក,100
tuk,ទឹក,95
luy,លុយ,100
loy,លុយ,95
phteah,ផ្ទះ,95
pteas,ផ្ទះ,90
ka,ការ,90
robos,របស់,90
chkuot,ឆ្កួត,90
chkot,ឆ្កួត,85
dontrei,ឥន្ត្រី,100
dontrey,ឥន្ត្រី,100

