ប្រដែ: brodae
អសង្ខៃយ: aasangkheyy
ឆាតកភ័យ: chhatkophey
ទព្វសម្ភារៈ: topvosompheareak
ទោចក្រយាន: touchkroyean
នារី: neari
ស្រិចៗ: srech
ហត្ថិលិង្គ: hothelirng
តឹង: terng
អធិមត្ត: aathimott
បេះបិទ: behbet
អាយ: aay
មហឹសា: mohoesa
ធេងធោង: thengthoung
ប៉ុណ្ណឹង: pirn ng
កូស្តារីកា: Costa Rica
តម្រេក: tomrek
យ៉ាក: yak
ត្រូវ: trov
អម្រស់: aomros
ចតុព្ភាគ: chotoppheak
ហេមវ័ន្ត: hemvoan
មួល: muol
នារទជាតក: neartocheatok
ពន្លត់: ponlot
អជ្ឈត្តសន្តាន: aochchhottosontean
មាក់ប្រាង: meakobrang
ស្រប៉ាប: srapab
អសុភា: aasophea
ស្រាល: sral
កាតៅ: katau
ហេង: heng
បោល: baol
មេត្តា: metta
ពន្យឺត: ponyueut
ឡូង: loung
ថ្នល់ទទឹង: thnoltotueng
សតនាគនហុត: sotoneaknohot
ទ្រមឹង: tromueng
ពៃទូរ្យ: pei
ក្លន: klan
ក្រអឺត: kroaeut
វិចិត្រ: vichetrar
ហោរ: haor
ឧបោសថ: ubaosath
ធុរនិក្ខេប: thurnikkheb
វសន្តតិលក: vosantotelok
កូនទោល: kontoul
ស្រអ៊ុំ: sraauum
មហិមា: mohemea
វល្លិជាតិ: vollicheat
អានិសង្ស: aanisongsor
សត្រា: satra
រលោរលាំ: rolorolorm
រជ្ជប្បវេណី: rochchobbavenei
តាសក់: tasok
សម្កុង: somkung
ខ្លាំង: khlang
ពស្ត្រាភរណៈ: postraphoronak
សម្មតិលិង្គ: sammotelingkor
សាវយុត: savoyut
រំយីក: rumyik
នឹម: nuem
វូបសន្ត: vubsontor
មន្ទីរបាល: montirobal
សទាទាន: soteatean
លះ: leah
វសល: vosal
ហ្នឹង: hnung
ភ្រឹតក: phruetok
ខន្ទរា: khantorea
ដឹក: derk
សាទិន: satin
សមិត: samit
សម្រាន្ត: somreantor
ជំងឺ: jumnger
បរិសុទ្ធិ: borisotthi
វិករ: vikor
កំភូត: kamphut
ថ្ងៃត្រង់: thngaitrang
អស្វ: aasvar
បោះឆ្នោត: baohnout
គ្រោះថ្នាក់: krosthnak
រំពេន: rumpen
កន្ធាយ: kantheay
សរសេរ: sorse
ពុំនោះ: puumnuoh
ប្រឡៅអំពែ: brolauompae
ផ្លោត: phlaot
យាមវតី: yeamovotei
ក្រមុំ: kmom
លូខ: lukh
រន្ធវាសី: ranthoveasei
ហ្ឫទ័យ: horytey
តុ: tok
បង្កើន: bong kern
ហោមរោង: haomrong
ទុក្កដ: tukkad
អឌ្ឍយោគ: aodthoyouk
សន្ទះ: sonteah
អភេទ: aophet
អាយុវែង: aayuveaeng
រឡិករឡាក់: rolekrolak
នក្សត្រ: noksat
ហោត្រ: haottrak
ដងកញ្ចាម: dangkanhcheam
សយ: soy
បុនប្បុនក្កម្ម: bonbbonkkomm
ភូតពេទ្យ: phutpetyor
កង្កែបប្រុយ: kongkebbroy
ខ្វែង: khvaeng
ក្រញើត: kronhaut
អសុរោះ: aosoruoh
ប្រុង: prong
ប្រភាត: brorpheat
គ្រួ: kruo
ចុន: chon
និង: nung
រាប់រៀប: reaborieb
ប៉ាគីស្ថាន: Pakistan
កញ្ជង់: konhchong
កើ: ker
អាជីព: ah jip
រវៃ: rovei
រញៀវ: ronhiev
ល្កក់: lkok
រចលេខា: rocholekha
ការ៉េ: kare
អករ៍: aakar
ប្រមោទ: bramout
រេរាំ: reroam
ទីណា: tina
មុជ: much
វិល: vil
នែអ្ហឺ: neaeaheu
មុខបាឋ: mukhobath
ក្រសាវ: krosav
មិត្រាភិបាល: mitraphibal
បូព្រឹក្ស: boupruek
មណ្ឌនភណ្ឌ: mondanophondar
ទាសភាព: teasopheap
ទព្វសម្ភារៈ: topvosampheareak
មេលេខ: melekh
រណោបាយ: ronaobay
ហោចល្អោញ: hochl'aonh
ហ: h
កន្ត្រើយ: kontrauy
សែ: sae
រំគងកែវស្នេហ៍: rumkongokaevsneh
អ៊ីនធឺណិត: internet
នារី: neary
ប្រាក្រឹត: brakroet
រកាំរកូស: rokamrokos
សន្និវាស: sanniveas
ត្រុលៗ: trol
នាំអាទិ៍: noamti
ក្រតើន: krataeun
ចម្បង: jombong
ផ្ដែរ: phdae
ពភល: pophol
ជំនាប់: chumneab
រលាស់: roleas
អង្កបាលិកា: aongkobalika
សម្លប: somlob
កន្លែង: konlaeng
វ៉ឺនវ៉ាយ: vueunveay
រងាវកក: rongeavokak
អម្ចាស់: aamcheas
កណ្ដែងកណ្ដោច: kandaengkandaoch
អៀវ: aiev
