input,khmer,count,last_selected
nh,ខ្ញុំ,1,2026-06-20T16:25:59+00:00
jg,ចង់,2,2026-06-20T16:44:48+00:00
jgyy,ចង់និយាយ,2,2026-06-20T16:57:01+00:00
pka,ផ្កា,7,2026-06-20T16:50:39+00:00
sropon,ស្រពោន,4,2026-06-20T16:50:32+00:00
ta,ថា,1,2026-06-20T16:57:13+00:00
lir,ឮ,1,2026-06-20T16:58:27+00:00
tha,ថា,1,2026-06-20T16:58:29+00:00
bros,ប្រុស,1,2026-06-20T18:27:34+00:00
chnamng,ឆ្នាំង,1,2026-06-20T18:31:18+00:00
chlous,ឈ្លោះ,1,2026-06-20T18:54:24+00:00
sursdey,សួស្តី,1,2026-06-21T09:25:01+00:00
chirkbal,ឈឺក្បាល,1,2026-06-21T09:26:13+00:00
pkasros,ផ្កាស្រស់,1,2026-06-21T09:34:38+00:00
presahti1,ព្រះអាទិត្យ,1,2026-06-21T09:35:01+00:00
sak,សាក,1,2026-06-21T09:38:58+00:00
pleang1,ភ្លៀង,1,2026-06-21T09:39:26+00:00
thunhnas1,ធុញណាស់,1,2026-06-21T09:43:54+00:00
mixdel1,មិចដែល,1,2026-06-21T09:44:40+00:00
pineakkortkerteyke1,ពីនាគគាត់កើតអីគេ,1,2026-06-21T09:47:24+00:00
hot,ហូរ,1,2026-06-21T09:51:03+00:00
meantah2,មានតាស,1,2026-06-21T10:21:16+00:00
tesna1,ទេសនា,3,2026-06-21T10:23:57+00:00
tesna,ទេសនា,1,2026-06-21T10:23:48+00:00
lvmix,ឥឡូវមិច,1,2026-06-21T10:24:19+00:00
mendelte,មែនដែលទេ,1,2026-06-21T10:26:08+00:00
josmix1,ចុះមិច,1,2026-06-21T10:26:18+00:00
